Downloaded from wid.world on 02-04-2020 at 11:56:18
Country;Percentile;"sptinc_z_2017
Pre-tax national income 
Top 1% | share
2017"
 Albania;p99p100;0.0821
 Algeria;p99p100;0.0970331262
 Angola;p99p100;0.1517511407
 Argentina;p99p100;
 Australia;p99p100;
 Austria;p99p100;0.0927
 Bahrain;p99p100;
 Belgium;p99p100;0.0777
 Benin;p99p100;0.1750311739
 Bosnia and Herzegovina;p99p100;0.0895
 Botswana;p99p100;0.2259700767
 Brazil;p99p100;
 Bulgaria;p99p100;0.1263
 Burkina Faso;p99p100;0.1430082748
 Burundi;p99p100;0.1454850695
 Cabo Verde;p99p100;0.1917325475
 Cameroon;p99p100;0.1573243554
 Canada;p99p100;
 Central African Republic;p99p100;0.3086232084
 Chad;p99p100;0.1559338194
 Chile;p99p100;
 China;p99p100;
 Colombia;p99p100;
 Comoros;p99p100;0.1405766394
 Congo;p99p100;0.2040918046
 Cote d’Ivoire;p99p100;
 Croatia;p99p100;0.082
 Cyprus;p99p100;0.1163
 Czech Republic;p99p100;0.1005
 DR Congo;p99p100;0.1812774802
 Denmark;p99p100;0.1071
 Djibouti;p99p100;0.1573595089
 Egypt;p99p100;
 Equatorial Guinea;p99p100;0.173345027
 Eritrea;p99p100;0.1425903523
 Estonia;p99p100;0.1111
 Ethiopia;p99p100;0.1425903523
 Finland;p99p100;0.1014
 France;p99p100;0.1115
 Gabon;p99p100;0.1089706599
 Gambia;p99p100;0.1341885409
 Germany;p99p100;0.1253
 Ghana;p99p100;0.1511859244
 Greece;p99p100;0.1337
 Guinea;p99p100;0.1235134804
 Guinea-Bissau;p99p100;0.1931776977
 Hungary;p99p100;0.1213
 Iceland;p99p100;0.0764
 India;p99p100;
 Indonesia;p99p100;
 Iran;p99p100;
 Iraq;p99p100;
 Ireland;p99p100;0.1125
 Italy;p99p100;0.0873
 Japan;p99p100;
 Jordan;p99p100;
 Kenya;p99p100;0.1502411452
 Korea;p99p100;
 Kuwait;p99p100;
 Latvia;p99p100;0.109
 Lebanon;p99p100;
 Lesotho;p99p100;0.1894966779
 Liberia;p99p100;0.1202996023
 Libya;p99p100;0.1349068026
 Lithuania;p99p100;0.1039
 Luxembourg;p99p100;0.1193
 Macedonia;p99p100;0.0766
 Madagascar;p99p100;0.1502240607
 Malawi;p99p100;0.3106906037
 Mali;p99p100;0.0952663106
 Malta;p99p100;0.114
 Mauritania;p99p100;0.1059516257
 Mauritius;p99p100;0.1381009037
 Moldova;p99p100;0.0993
 Montenegro;p99p100;0.0851
 Morocco;p99p100;0.1494917799
 Mozambique;p99p100;0.3091519228
 Namibia;p99p100;0.2150385822
 Netherlands;p99p100;0.0621
 New Zealand;p99p100;
 Niger;p99p100;0.1141410988
 Nigeria;p99p100;0.1525600688
 Norway;p99p100;0.0935
 Oman;p99p100;
 Palestine;p99p100;
 Poland;p99p100;0.1399
 Portugal;p99p100;0.1059
 Qatar;p99p100;
 Romania;p99p100;0.1524
 Russian Federation;p99p100;
 Rwanda;p99p100;0.1967323285
 Sao Tome and Principe;p99p100;0.0878555117
 Saudi Arabia;p99p100;
 Senegal;p99p100;0.1304320804
 Serbia;p99p100;0.128
 Seychelles;p99p100;0.2037332944
 Sierra Leone;p99p100;0.1051203225
 Singapore;p99p100;
 Slovakia;p99p100;0.0533
 Slovenia;p99p100;0.0767
 Somalia;p99p100;0.1690075377
 South Africa;p99p100;0.1921
 South Sudan;p99p100;0.1412961033
 Spain;p99p100;0.1189
 Sudan;p99p100;0.1116039579
 Swaziland;p99p100;0.1820206774
 Sweden;p99p100;0.0903
 Switzerland;p99p100;0.106
 Syrian Arab Republic;p99p100;
 Taiwan;p99p100;
 Tanzania;p99p100;0.1617142208
 Thailand;p99p100;
 Togo;p99p100;0.1374146333
 Tunisia;p99p100;0.1074267112
 Turkey;p99p100;
 USA;p99p100;
 Uganda;p99p100;0.1685414456
 United Arab Emirates;p99p100;
 United Kingdom;p99p100;0.1261
 Uruguay;p99p100;
 Yemen;p99p100;
 Zambia;p99p100;0.2307874429
 Zanzibar;p99p100;0.1617
 Zimbabwe;p99p100;0.1720573964
